item - centres - c - cp,item - centres - c - com,item - centres - c - pob,item - id,item - dep,item - nom,item - resp,item - iddep
8030,Barcelonès,Barcelona,13929,Departament de Territori i Sostenibilitat,"Barcelona Sagrera Alta Velocidad, SA.",Rafael Catalá Polo,3392
8014,Barcelonès,Barcelona,18074,Departament de Justícia,Barcelona. Servei d'Informació Mediadora (SIM) de l'Associació Prohabitatge,null,13757
8075,Barcelonès,Barcelona,17996,Departament de Justícia,Barcelona. Servei de Mediació als Jutjats Civils,null,13757
8075,Barcelonès,Barcelona,17275,Departament de Justícia,Barcelona. Servei de Mediació als Jutjats de Família,null,13757
8036,Barcelonès,Barcelona,18898,Departament de Salut,"Barnaclínic, SA",null,2803
8005,Barcelonès,Barcelona,13621,Departament d'Economia i Coneixement,"Bau, Escola de Disseny (UVic)",null,1103
8600,Berguedà,Berga,17998,Departament de Justícia,Berga. Servei d'Informació Mediadora (SIM) del Consell Comarcal del Berguedà,null,13757
8017,Barcelonès,Barcelona,10507,Departament d'Economia i Coneixement,Biblioteca (UIC),null,1103
8500,Osona,Vic,10459,Departament d'Economia i Coneixement,Biblioteca (UVic),null,1103
8005,Barcelonès,Barcelona,376,Departament d'Economia i Coneixement,Biblioteca General (UPF),null,1103
8038,Barcelonès,Barcelona,9779,Departament de Cultura,Biblioteca General d'Història de l'Art,null,2221
8038,Barcelonès,Barcelona,2703,Departament de la Presidència,Biblioteca INEFC - Centre de Barcelona,Maria Goretti Pascual Curià,6
25192,Segrià,Lleida,17624,Departament de la Presidència,Biblioteca INEFC - Centre de Lleida,Teresa Maria Figuerola Curcó,6
8800,Garraf,Vilanova i la Geltrú,11562,Departament de Cultura,Biblioteca Museu Víctor Balaguer,Montserrat Comas Güell,2221
17002,Gironès,Girona,2780,Departament de Cultura,Biblioteca Pública de Titularitat Estatal a Catalunya de Girona,Lourdes Reyes Camps,2221
25002,Segrià,Lleida,2781,Departament de Cultura,Biblioteca Pública de Titularitat Estatal a Catalunya de Lleida,Antònia Capdevila Palau,2221
43001,Tarragonès,Tarragona,2782,Departament de Cultura,Biblioteca Pública de Titularitat Estatal a Catalunya de Tarragona,Dolors Saumell Calaf,2221
8028,Barcelonès,Barcelona,171,Departament d'Economia i Coneixement,Biblioteca Universitària (UB),null,1103
8002,Barcelonès,Barcelona,12437,Departament de Cultura,Biblioteca central del Departament de Cultura,null,2221
8001,Barcelonès,Barcelona,2407,Departament de Cultura,Biblioteca de Catalunya,Eugènia Serra Aranda,2221
8011,Barcelonès,Barcelona,,,,,
8001,Barcelonès,Barcelona,6942,Departament de Cultura,Biblioteca de Cinema,null,2221
8008,Barcelonès,Barcelona,10906,Departament d'Empresa i Ocupació,Biblioteca de Comerç i Turisme,Concepción  González i Tascón,15638
8003,Barcelonès,Barcelona,12958,Departament d'Economia i Coneixement,Biblioteca de França (UPF),null,1103
8010,Barcelonès,Barcelona,598,Departament de Governació i Relacions Institucionals,Biblioteca de l'Escola d'Administració Pública,Lluís Coll i Taberner,655
8950,Baix Llobregat,Esplugues de Llobregat,2641,Departament de la Presidència,Biblioteca de l'Esport,Maria Lluïsa Berasategui,6
8005,Barcelonès,Barcelona,12960,Departament d'Economia i Coneixement,Biblioteca de l'Institut Universitari d'Història Jaume Vicens i Vives (UPF),null,1103
8002,Barcelonès,Barcelona,12957,Departament d'Economia i Coneixement,Biblioteca de la Rambla (UPF),null,1103
8100,Vallès Oriental,Mollet del Vallès,6489,Departament d'Interior,Biblioteca del Centre de Coneixement de la Seguretat (CCS),Elisabet Calatayud i Bassols,13760
8003,Barcelonès,Barcelona,12959,Departament d'Economia i Coneixement,Biblioteca del Mar (UPF),null,1103
8010,Barcelonès,Barcelona,5190,Departament de Justícia,Biblioteca i Centre de Documentació,null,13757
8009,Barcelonès,Barcelona,717,Departament d'Interior,Biblioteca i Documentació,Lourdes Vivó Boada,13760
8912,Barcelonès,Badalona,14428,Departament de Territori i Sostenibilitat,Borsa Habitatge Badalona,null,3392
25600,Noguera,Balaguer,18938,Departament de Territori i Sostenibilitat,Borsa Habitatge Balaguer,null,3392
17820,Pla de l'Estany,Banyoles,18283,Departament de Territori i Sostenibilitat,Borsa Habitatge Banyoles - Pla de l'Estany,null,3392
8210,Vallès Occidental,Barberà del Vallès,18925,Departament de Territori i Sostenibilitat,Borsa Habitatge Barberà del Vallès,null,3392
8018,Barcelonès,Barcelona,6785,Departament de Territori i Sostenibilitat,Borsa Habitatge Barcelona,null,3392
8600,Berguedà,Berga,18918,Departament de Territori i Sostenibilitat,Borsa Habitatge Berga,null,3392
17300,Selva,Blanes,15511,Departament de Territori i Sostenibilitat,Borsa Habitatge Blanes,null,3392
17300,Selva,Blanes,,,,,
8140,Vallès Oriental,Caldes de Montbui,18929,Departament de Territori i Sostenibilitat,Borsa Habitatge Caldes de Montbui,null,3392
8370,Maresme,Calella,18920,Departament de Territori i Sostenibilitat,Borsa Habitatge Calella de Mar,null,3392
43850,Baix Camp,Cambrils,14431,Departament de Territori i Sostenibilitat,Borsa Habitatge Cambrils,null,3392
8211,Vallès Occidental,Castellar del Vallès,18926,Departament de Territori i Sostenibilitat,Borsa Habitatge Castellar del Vallès,null,3392
8755,Vallès Occidental,Castellbisbal,15591,Departament de Territori i Sostenibilitat,Borsa Habitatge Castellbisbal,null,3392
8860,Baix Llobregat,Castelldefels,18913,Departament de Territori i Sostenibilitat,Borsa Habitatge Castelldefels,null,3392
17520,Cerdanya,Puigcerdà,18282,Departament de Territori i Sostenibilitat,Borsa Habitatge Cerdanya,null,3392
8290,Vallès Occidental,Cerdanyola del Vallès,14432,Departament de Territori i Sostenibilitat,Borsa Habitatge Cerdanyola del Vallès,null,3392
